n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
4023	Siren-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Siren-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4024	Siren-Cloth	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Siren-Cloth] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4025	Siren-Wing	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Siren-Wing] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4026	Silva-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์		เมื่อใช้จะนำ [Silva-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4027	Silva-Armor	ประเภทตู้เก็บของ: รูปลักษณ์		เมื่อใช้จะนำ [Silva-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4028	Silva-Legging	ประเภทตู้เก็บของ: รูปลักษณ์		เมื่อใช้จะนำ [Silva-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4029	 Da Vinci-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์		เมื่อใช้จะนำ [ Da Vinci-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4030	 Da Vinci-Armor	ประเภทตู้เก็บของ: รูปลักษณ์		เมื่อใช้จะนำ [ Da Vinci-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4031	 Da Vinci-Legging	ประเภทตู้เก็บของ: รูปลักษณ์		เมื่อใช้จะนำ [ Da Vinci-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4032	Beautiful Armor Knight-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Beautiful Armor Knight-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4033	Beautiful Armor Knight-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Beautiful Armor Knight-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4034	Beautiful Armor Knight-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Beautiful Armor Knight-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4035	Skeleton  Captain-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Skeleton  Captain-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4036	Skeleton  Captain-Cloth	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Skeleton  Captain-Cloth] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4037	Nasca-Headdress	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Nasca-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4038	Nasca-Armor	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Nasca-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4039	Nasca-Legging	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Nasca-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4040	Whelp Division-Headdress	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Whelp Division-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4041	Whelp Division-Armor	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Whelp Division-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4042	Whelp Division-Legging	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Whelp Division-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4043	God Wing-Headdress	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [God Wing-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4044	God Wing-Armor	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [God Wing-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4045	God Wing-Legging	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [God Wing-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4046	God Wing-Backside	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [God Wing-Backside] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4047	Sacred Feather-Headdress	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Sacred Feather-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4048	Sacred Feather-Armor	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Sacred Feather-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4049	Sacred Feather-Legging	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Sacred Feather-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4050	Sacred Feather-Backside	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Sacred Feather-Backside] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4051	Law Execution-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Law Execution-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4052	Law Execution-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Law Execution-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4053	Law Execution-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Law Execution-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4054	Remain Intruder-Headdress	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Remain Intruder-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4055	Remain Intruder-Armor	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Remain Intruder-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4056	Remain Intruder-Legging	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Remain Intruder-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4057	Sails Fighter-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Sails Fighter-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4058	Sails Fighter-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Sails Fighter-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4059	Sails Fighter-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Sails Fighter-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4060	Leaving Dragon Assassin-Headdress	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Leaving Dragon Assassin-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4061	Leaving Dragon Assassin-Armor	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Leaving Dragon Assassin-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4062	Leaving Dragon Assassin-Legging	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้จะนำ [Leaving Dragon Assassin-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4063	Skeleton  Captain-Goggles	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Skeleton  Captain-Goggles] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4064	Christmas Lover(Warm)-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Christmas Lover(Warm)-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4065	Christmas Lover(Warm)-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Christmas Lover(Warm)-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4066	Christmas Lover(Pretty)-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Christmas Lover(Pretty)-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4067	Christmas Lover(Pretty)-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Christmas Lover(Pretty)-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4068	Romantic Lover-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Romantic Lover-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4069	Romantic Lover-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Romantic Lover-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4070	Romantic Lover-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Romantic Lover-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4071	Pink Beauty-Headdress	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Pink Beauty-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4072	Pink Beauty-Armor	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Pink Beauty-Armor] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4073	Pink Beauty-Legging	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Pink Beauty-Legging] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
4074	海賊帽：パイレーツハット	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【海賊帽：パイレーツハット】收進收納櫃，收納後即可穿著。
4075	上半身：アズールベスト	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【上半身：アズールベスト】收進收納櫃，收納後即可穿著。
4076	長褲：ルシフェルパンツ	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【長褲：ルシフェルパンツ】收進收納櫃，收納後即可穿著。
4077	蝴蝶王冠緞帶髮飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【蝴蝶王冠緞帶髮飾】收進收納櫃，收納後即可穿著。
4078	HAWASE洋裝	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【HAWASE洋裝】收進收納櫃，收納後即可穿著。
4079	HAWASE襪子＆鞋子	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【HAWASE襪子＆鞋子】收進收納櫃，收納後即可穿著。
4080	薔薇的葬列-頭飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【薔薇的葬列-頭飾】收進收納櫃，收納後即可穿著。
4081	薔薇的葬列-上身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【薔薇的葬列-上身】收進收納櫃，收納後即可穿著。
4082	薔薇的葬列-下身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【薔薇的葬列-下身】收進收納櫃，收納後即可穿著。
4083	伊莉莎白蝴蝶結髮箍	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【伊莉莎白蝴蝶結髮箍】收進收納櫃，收納後即可穿著。
4084	伊莉莎白洋裝	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【伊莉莎白洋裝】收進收納櫃，收納後即可穿著。
4085	伊莉莎白襪子＆鞋子	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【伊莉莎白襪子＆鞋子】收進收納櫃，收納後即可穿著。
4086	Traditional Garments (Men)-Headdress	ประเภทชั้นวางของ: รูปลักษณ์\nเมื่อสวมใส่จะเพิ่มค่าพลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา, 2 แต้ม, รู้สึก 2 แต้ม, ค่ากำลัง 5 แต้ม	ไอเทมทดสอบ ใช้ภายใน ห้ามเผยแพร่!!	เมื่อใช้สามารถนำ 【Traditional Garments (Men)-Headdress】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
4087	Traditional Garments (Men)-Armor	ประเภทชั้นวางของ: รูปลักษณ์\nเมื่อสวมใส่จะเพิ่มค่าพลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา, 2 แต้ม, รู้สึก 2 แต้ม, ค่ากำลัง 5 แต้ม		เมื่อใช้สามารถนำ 【Traditional Garments (Men)-Armor】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
4088	Traditional Garments (Men)-Legging	ประเภทชั้นวางของ: รูปลักษณ์\nเมื่อสวมใส่จะเพิ่มค่าพลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา, 2 แต้ม, รู้สึก 2 แต้ม, ค่ากำลัง 5 แต้ม		เมื่อใช้สามารถนำ 【Traditional Garments (Men)-Legging】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
4089	Traditional Garments (Women)-Headdress	ประเภทชั้นวางของ: รูปลักษณ์\nเมื่อสวมใส่จะเพิ่มค่าพลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา, 2 แต้ม, รู้สึก 2 แต้ม, ค่ากำลัง 5 แต้ม	ไอเทมทดสอบ ใช้ภายใน ห้ามเผยแพร่!!	เมื่อใช้สามารถนำ 【Traditional Garments (Women)-Headdress】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
4090	Traditional Garments (Women)-Armor	ประเภทชั้นวางของ: รูปลักษณ์\nเมื่อสวมใส่จะเพิ่มค่าพลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา, 2 แต้ม, รู้สึก 2 แต้ม, ค่ากำลัง 5 แต้ม		เมื่อใช้สามารถนำ 【Traditional Garments (Women)-Armor】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
4091	Traditional Garments (Women)-Legging	ประเภทชั้นวางของ: รูปลักษณ์\nเมื่อสวมใส่จะเพิ่มค่าพลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา, 2 แต้ม, รู้สึก 2 แต้ม, ค่ากำลัง 5 แต้ม	ไอเทมทดสอบ ใช้ภายใน ห้ามเผยแพร่!!	เมื่อใช้สามารถนำ 【Traditional Garments (Women)-Legging】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
4092	メルティスイーツデビルミニミニハット(青)	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【メルティスイーツデビルミニミニハット(青)】收進收納櫃，收納後即可穿著。
4093	ギルティーメルティースイーツタウン柄ベスト	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【ギルティーメルティースイーツタウン柄ベスト】收進收納櫃，收納後即可穿著。
4094	ギルティーメルティースイーツタウン柄パンツ＆ブーツ	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【ギルティーメルティースイーツタウン柄パンツ＆ブーツ】收進收納櫃，收納後即可穿著。
4095	ギルティメルティスイーツタウン柄リボンカチューシャ	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【ギルティメルティスイーツタウン柄リボンカチューシャ】收進收納櫃，收納後即可穿著。
4096	ギルティーメルティースイーツタウンジャンパースカートⅠ	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【ギルティーメルティースイーツタウンジャンパースカートⅠ】收進收納櫃，收納後即可穿著。
4097	ダイヤ柄タイツ(白) ＆シューズ	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【ダイヤ柄タイツ(白) ＆シューズ】收進收納櫃，收納後即可穿著。
4098	時計うさぎのシルクハット	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【時計うさぎのシルクハット】收進收納櫃，收納後即可穿著。
4099	アルフレッドジャケット＋アルフレッドブラウス	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【アルフレッドジャケット＋アルフレッドブラウス】收進收納櫃，收納後即可穿著。
4100	アルフレッドパンツ＆ブーツ	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【アルフレッドパンツ＆ブーツ】收進收納櫃，收納後即可穿著。
4101	メルティスイーツデビルミニミニハット(赤)	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【メルティスイーツデビルミニミニハット(赤)】收進收納櫃，收納後即可穿著。
4102	ギルティーメルティースイーツタウンジャンパースカートⅡ	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【ギルティーメルティースイーツタウンジャンパースカートⅡ】收進收納櫃，收納後即可穿著。
4103	ダイヤ柄タイツ(赤)＆シューズ	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【ダイヤ柄タイツ(赤)＆シューズ】收進收納櫃，收納後即可穿著。
4104	(白)DMM-頭飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【(白)DMM-頭飾】收進收納櫃，收納後即可穿著。
4105	(黑)DMM-頭飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【(黑)DMM-頭飾】收進收納櫃，收納後即可穿著。
4106	2014_12_1_M-頭飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_1_M-頭飾】收進收納櫃，收納後即可穿著。
4107	2014_12_1_M-上身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_1_M-上身】收進收納櫃，收納後即可穿著。
4108	2014_12_1_M-下身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_1_M-下身】收進收納櫃，收納後即可穿著。
4109	2014_12_1_F-頭飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_1_F-頭飾】收進收納櫃，收納後即可穿著。
4110	2014_12_1_F-上身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_1_F-上身】收進收納櫃，收納後即可穿著。
4111	2014_12_1_F-下身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_1_F-下身】收進收納櫃，收納後即可穿著。
4112	2014_12_2_M-頭飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_2_M-頭飾】收進收納櫃，收納後即可穿著。
4113	2014_12_2_M-上身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_2_M-上身】收進收納櫃，收納後即可穿著。
4114	2014_12_2_M-下身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_2_M-下身】收進收納櫃，收納後即可穿著。
4115	2014_12_2_F-頭飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_2_F-頭飾】收進收納櫃，收納後即可穿著。
4116	2014_12_2_F-上身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_2_F-上身】收進收納櫃，收納後即可穿著。
4117	2014_12_2_F-下身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2014_12_2_F-下身】收進收納櫃，收納後即可穿著。
4118	2015_1_1_M-頭飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_1_M-頭飾】收進收納櫃，收納後即可穿著。
4119	2015_1_1_M-上身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_1_M-上身】收進收納櫃，收納後即可穿著。
4120	2015_1_1_M-下身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_1_M-下身】收進收納櫃，收納後即可穿著。
4121	2015_1_1_F-頭飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_1_F-頭飾】收進收納櫃，收納後即可穿著。
4122	2015_1_1_F-上身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_1_F-上身】收進收納櫃，收納後即可穿著。
4123	2015_1_1_F-下身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_1_F-下身】收進收納櫃，收納後即可穿著。
4124	2015_1_2_M-頭飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_2_M-頭飾】收進收納櫃，收納後即可穿著。
4125	2015_1_2_M-上身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_2_M-上身】收進收納櫃，收納後即可穿著。
4126	2015_1_2_M-下身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_2_M-下身】收進收納櫃，收納後即可穿著。
4127	2015_1_2_F-頭飾	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_2_F-頭飾】收進收納櫃，收納後即可穿著。
4128	2015_1_2_F-上身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_2_F-上身】收進收納櫃，收納後即可穿著。
4129	2015_1_2_F-下身	收納種類：外觀。	此外觀可轉換成合成素材	使用後將【2015_1_2_F-下身】收進收納櫃，收納後即可穿著。
4130	DMM神火-頭飾	收納種類：外觀。		使用後將【DMM神火-頭飾】收進收納櫃，收納後即可穿著。
4131	DMM神火-上身	收納種類：外觀。		使用後將【DMM神火-上身】收進收納櫃，收納後即可穿著。
4132	DMM神火-下身	收納種類：外觀。		使用後將【DMM神火-下身】收進收納櫃，收納後即可穿著。
4133	黛安娜-頭飾	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【黛安娜-頭飾】收進收納櫃，收納後即可穿著。
4134	黛安娜-上身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【黛安娜-上身】收進收納櫃，收納後即可穿著。
4135	黛安娜-下身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【黛安娜-下身】收進收納櫃，收納後即可穿著。
4136	亞米克絲-頭飾	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【亞米克絲-頭飾】收進收納櫃，收納後即可穿著。
4137	亞米克絲-上身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【亞米克絲-上身】收進收納櫃，收納後即可穿著。
4138	亞米克絲-下身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【亞米克絲-下身】收進收納櫃，收納後即可穿著。
4139	愛朵拉-頭飾	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【愛朵拉-頭飾】收進收納櫃，收納後即可穿著。
4140	愛朵拉-上身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【愛朵拉-上身】收進收納櫃，收納後即可穿著。
